label,node_label,node_storey,node_space,node_cell,node_user,node_furniture,node_fan,co2_sensing,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,voc_sensing,clo,heartRate_cozie,responseSpeed_cozie,area,occupancy,x,y
"[1, 0, 0, 0, 0, 0, 0, 0, 0]",STOREY-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[0, 1, 0, 0, 0, 0, 0, 0, 0]",OPEN_EXHIBITION_SPACE_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8155,200,0,0
"[0, 1, 0, 0, 0, 0, 0, 0, 0]",ENERGY_LAB_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1507.9,30,0,0
"[0, 1, 0, 0, 0, 0, 0, 0, 0]",OUTSIDE_RESTROOM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,645.47,10,0,0
"[0, 1, 0, 0, 0, 0, 0, 0, 0]",CAFE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,980,8,0,0
"[0, 1, 0, 0, 0, 0, 0, 0, 0]",BEEHUB_NEXUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250.94,15,0,0
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2468491,47.27581024
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.5928802,49.43925095
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.8850403,52.07520294
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.4693909,53.3895874
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5885544,51.70344162
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5368652,47.32857513
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5368652,41.94635773
