cell,skin_temp,heart_rate,thermal_vote
C000048-S0303,28.5,81.0,11.0
C000064-S0303,28.5,81.0,11.0
C000267-S0303,28.5,81.0,11.0
C000268-S0303,28.5,81.0,11.0
C000269-S0303,28.5,81.0,11.0
C002733-S0304,28.5,81.0,11.0
C002734-S0304,28.5,81.0,11.0
C002735-S0304,28.5,81.0,11.0
C000059-S0303,28.5,77.0,10.0
C000060-S0303,28.5,77.0,10.0
C000075-S0303,28.5,77.0,10.0
C000076-S0303,28.5,77.0,10.0
C000059-S0303,28.625,61.0,10.0
C000060-S0303,28.625,61.0,10.0
C000075-S0303,28.625,61.0,10.0
C000076-S0303,28.625,61.0,10.0
C000055-S0303,28.375,87.0,10.0
C000056-S0303,28.375,87.0,10.0
C000071-S0303,28.375,87.0,10.0
C000072-S0303,28.375,87.0,10.0
C000073-S0303,28.375,87.0,10.0
C000850-S0304,28.875,76.0,11.0
C000889-S0304,28.875,76.0,11.0
C000890-S0304,28.875,76.0,11.0
C000891-S0304,28.875,76.0,11.0
C000014-S0301,31.5,84.0,10.0
C000015-S0301,31.5,84.0,10.0
C000042-S0301,31.5,84.0,10.0
C000043-S0301,31.5,84.0,10.0
C000381-S0301,31.5,84.0,10.0
C000382-S0301,31.5,84.0,10.0
C002513-S0304,31.5,84.0,10.0
C002514-S0304,31.5,84.0,10.0
C000064-S0303,31.25,91.0,10.0
C000065-S0303,31.25,91.0,10.0
C000080-S0303,31.25,91.0,10.0
C000081-S0303,31.25,91.0,10.0
C000211-S0301,30.125,62.0,11.0
C000231-S0301,30.125,62.0,11.0
C000232-S0301,30.125,62.0,11.0
C000233-S0301,30.125,62.0,11.0
C000211-S0301,29.875,81.0,11.0
C000212-S0301,29.875,81.0,11.0
C000232-S0301,29.875,81.0,11.0
C000233-S0301,29.875,81.0,11.0
C001775-S0304,31.5,85.0,11.0
C001802-S0304,31.5,85.0,11.0
C001803-S0304,31.5,85.0,11.0
C001658-S0304,31.75,101.0,11.0
C001681-S0304,31.75,101.0,11.0
C001682-S0304,31.75,101.0,11.0
C000924-S0304,31.875,70.0,11.0
C000925-S0304,31.875,70.0,11.0
C000964-S0304,31.875,70.0,11.0
C000965-S0304,31.875,70.0,11.0
C001809-S0304,31.625,78.0,11.0
C001853-S0304,31.625,78.0,11.0
